Player,Squad,Position,Age,G+A /90,ga90_ewm,forecast_2627_ga90,forecast_2627_p10,forecast_2627_p90,forecast_delta,early_2627_90s,early_2627_ga90
Wilson Odobert,Tottenham,"MF,FW",20,0.18348623853211,0.1698084070352867,0.537242966667521,0.0,0.7775912241420331,0.35375672813541104,,
Simon Adingra,Sunderland,"MF,FW",23,0.136986301369863,0.1956729247615344,0.49009120512652804,0.0,0.6272903347625952,0.35310490375666503,,
Angel Gomes,Wolves,"MF,FW",24,0.0,0.0,0.333617752102749,0.0,0.48665507510217504,0.333617752102749,,
Marshall Munetsi,Wolves,"MF,FW",29,0.2061855670103093,0.2207903780068728,0.5331377389689134,0.0,0.8151745628559586,0.32695217195860404,,
Rodrigo Muniz,Fulham,FW,24,0.1801801801801802,0.369810647016413,0.5012968435610201,0.0,0.791295413366123,0.3211166633808399,0.3,0.0
Wilfried Gnonto,Leeds United,FW,21,0.1666666666666666,0.2444444444444444,0.4723653528709776,0.0,0.7607573211517289,0.30569868620431095,,
Justin Devenny,Crystal Palace,"MF,FW",21,0.1136363636363636,0.1948051948051948,0.41563024176048446,0.0,0.6558085767118235,0.3019938781241209,,
Anthony Elanga,Newcastle,"FW,MF",23,0.0680272108843537,0.2285629994402523,0.3662760764789273,0.0,0.5392976905208698,0.2982488655945736,2.6,0.78
Liam Delap,Chelsea,FW,22,0.08130081300813,0.1622252333634447,0.3790055175885209,0.0,0.6138838648963585,0.2977047045803909,2.1,0.48
Armando Broja,Burnley,FW,23,0.2083333333333333,0.1714827114370493,0.5023047546930045,0.0,0.7531931414994701,0.29397142135967125,,
Jean-Ricner Bellegarde,Wolves,"MF,FW",27,0.1438848920863309,0.2348966839918205,0.41893342932050487,0.0,0.5905739600415658,0.275048537234174,,
Evanilson,Bournemouth,FW,25,0.2295081967213114,0.29512432752997,0.5031783337341056,0.0,0.695717689569546,0.2736701370127942,3.7,0.81
Jacob Bruun Larsen,Burnley,"MF,FW",26,0.087719298245614,0.2023644242500736,0.35857905519371525,0.0,0.6029555144626346,0.27085975694810127,,
Kaoru Mitoma,Brighton,"MF,FW",28,0.2094240837696334,0.2959188529582106,0.47701401197605064,0.0,0.6393452387424107,0.26758992820641725,,
Crysencio Summerville,West Ham,"MF,FW",23,0.2554744525547445,0.2495312652481134,0.5211945401378868,0.0,0.8144168170170887,0.2657200875831423,,
Lyle Foster,Burnley,"FW,MF",24,0.3289473684210526,0.3456805520911283,0.586485857779983,0.0,0.6115188600833924,0.25753848935893037,,
Noni Madueke,Arsenal,"FW,MF",23,0.2962962962962963,0.345393587295342,0.5537072176194401,0.0,0.6299707271680133,0.2574109213231438,0.3,0.0
Kevin Schade,Brentford,"MF,FW",23,0.360655737704918,0.4183594525868654,0.6149858759542417,0.0,0.7910027551442494,0.2543301382493237,4.0,0.76
Dominic Solanke,Tottenham,FW,27,0.2702702702702703,0.3483280492827677,0.5203183228134773,0.0,0.7308674547958265,0.25004805254320706,1.2,0.0
Daniel James,Leeds United,"FW,MF",27,0.0,0.0,0.24335159756273947,0.0,0.48085111016344284,0.24335159756273947,0.3,0.0
Manuel Ugarte,Manchester Utd,MF,24,0.0,0.0505050505050505,0.23104764838364342,0.0,0.335735027725518,0.23104764838364342,,
Justin Kluivert,Bournemouth,MF,26,0.1886792452830188,0.3213641900859546,0.41873861502530346,0.0,0.635927792262901,0.23005936974228466,3.3,0.31
Chris Wood,Nottingham,FW,33,0.3,0.4382716609455256,0.525512557457666,0.0,0.694622864599193,0.22551255745766602,0.5,0.0
Sávio,Manchester City,MF,21,0.2150537634408602,0.296430400117036,0.440369068136411,0.0,0.5223198281036956,0.22531530469555083,1.7,0.0
Diego Gómez,Brighton,"MF,FW",22,0.2542372881355932,0.2279710575874715,0.4757831978189623,0.0,0.7531514108912399,0.22154590968336907,3.9,0.26
