Squad,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Season,points_so_far
Arsenal,4,4,360,4,1,0.25,7,6,85.7,4,0,0,3,75,1,0,1,0,100.0,2026-27,12
Aston Villa,4,4,360,4,7,1.75,20,13,65.0,0,1,3,1,25,0,0,0,0,,2026-27,1
Bournemouth,4,4,360,4,7,1.75,16,9,56.3,0,3,1,0,0,0,0,0,0,,2026-27,3
Brentford,4,4,360,4,4,1.0,19,15,78.9,1,3,0,1,25,1,1,0,0,0.0,2026-27,6
Brighton,4,4,360,4,5,1.25,15,10,66.7,2,1,1,2,50,0,0,0,0,,2026-27,7
Chelsea,4,4,360,4,9,2.25,28,19,67.9,2,1,1,0,0,0,0,0,0,,2026-27,7
Coventry City,4,4,360,4,10,2.5,17,7,41.2,0,0,4,0,0,1,1,0,0,0.0,2026-27,0
Crystal Palace,4,4,360,4,11,2.75,26,15,57.7,1,0,3,0,0,0,0,0,0,,2026-27,3
Everton,4,4,360,4,3,0.75,14,11,78.6,1,3,0,2,50,0,0,0,0,,2026-27,6
Fulham,4,4,360,4,7,1.75,18,11,61.1,0,1,3,1,25,0,0,0,0,,2026-27,1
Hull City,4,4,360,4,2,0.5,16,14,87.5,2,2,0,3,75,0,0,0,0,,2026-27,8
Ipswich Town,4,4,360,4,10,2.5,25,15,60.0,2,0,2,0,0,1,1,0,0,0.0,2026-27,6
Leeds United,4,4,360,4,3,0.75,18,14,83.3,2,2,0,1,25,0,0,0,0,,2026-27,8
Liverpool,4,4,360,4,4,1.0,16,12,75.0,1,3,0,2,50,1,1,0,0,0.0,2026-27,6
Manchester City,4,4,360,4,2,0.5,12,10,83.3,4,0,0,2,50,0,0,0,0,,2026-27,12
Manchester Utd,4,4,360,4,7,1.75,17,10,58.8,1,1,2,0,0,0,0,0,0,,2026-27,4
Newcastle,4,4,360,4,8,2.0,24,16,66.7,1,2,1,1,25,1,1,0,0,0.0,2026-27,5
Nottingham,4,4,360,4,4,1.0,13,9,69.2,1,2,1,1,25,0,0,0,0,,2026-27,5
Sunderland,4,4,360,4,5,1.25,10,5,50.0,1,1,2,1,25,1,1,0,0,0.0,2026-27,4
Tottenham,4,4,360,4,5,1.25,14,9,64.3,0,2,2,2,50,1,0,0,1,,2026-27,2
