Player,Squad,Position,Age,G+A /90,ga90_ewm,forecast_2627_ga90,forecast_2627_p10,forecast_2627_p90,forecast_delta,early_2627_90s,early_2627_ga90
William Osula,Newcastle,FW,21,0.7692307692307693,0.6609686609686609,0.34110282840151596,0.0,0.8508585188914926,-0.4281279408292533,0.6,1.64
Taiwo Awoniyi,Nottingham,FW,27,0.9090909090909092,0.7379569086215763,0.5101990870139783,0.0,0.8587196996299482,-0.39889182207693086,2.6,0.0
Donyell Malen,Aston Villa,"FW,MF",26,0.684931506849315,0.7507386516250336,0.3365511562992243,0.0,0.7956025952917251,-0.34838035055009076,,
Rayan Cherki,Manchester City,MF,21,0.8080808080808081,0.8080808080808081,0.4787070357905414,0.0,0.7541585174851594,-0.32937377229026665,2.4,1.64
Eli Junior Kroupi,Bournemouth,"MF,FW",19,0.6989247311827956,0.6989247311827956,0.41030433164053853,0.0,0.6895937623191069,-0.2886203995422571,,
Samuel Chukwueze,Fulham,MF,26,0.5833333333333334,0.5833333333333334,0.31631787377006804,0.0,0.6057187890667338,-0.26701545956326533,,
Omar Marmoush,Manchester City,"FW,MF",26,0.7692307692307693,0.6909375611665688,0.5348255919924161,0.0,0.8236198496134503,-0.2344051772383532,2.8,0.0
Erling Haaland,Manchester City,FW,25,1.0670731707317074,1.0305044501784637,0.8407753024848522,0.0,0.9805709725114344,-0.22629786824685516,4.0,1.0
Casemiro,Manchester Utd,MF,33,0.3846153846153846,0.2908837092010463,0.1585139546537921,0.0,0.492429357581885,-0.2261014299615925,,
Tijjani Reijnders,Manchester City,MF,27,0.3867403314917126,0.3867403314917126,0.1663649605488654,0.0,0.5272921826653884,-0.2203753709428472,,
Rayan,Bournemouth,MF,18,0.5691056910569106,0.5691056910569106,0.36083578227055396,0.0,0.5967411407687956,-0.2082699087863566,3.9,0.0
Hugo Ekitike,Liverpool,FW,23,0.75,0.75,0.5422303079086698,0.0,0.8087096443831888,-0.20776969209133023,,
Viktor Gyökeres,Arsenal,FW,27,0.6072874493927126,0.6072874493927126,0.4309158734004457,0.0,0.7590697341379932,-0.17637157599226694,0.1,0.0
Jack Grealish,Everton,MF,29,0.4419889502762431,0.3931429898465025,0.2667157287357579,0.0,0.5234642235257928,-0.1752732215404852,0.1,0.0
Jack Grealish,Everton,MF,29,0.4419889502762431,0.3931429898465025,0.2667157287357579,0.0,0.5234642235257928,-0.1752732215404852,0.6,0.0
John McGinn,Aston Villa,MF,30,0.379746835443038,0.3262159971995467,0.20646703375795444,0.0,0.5401311456767128,-0.17327980168508356,3.9,0.26
Danny Welbeck,Brighton,FW,34,0.5577689243027888,0.5446840872902073,0.38609704452431864,0.0,0.7312101735643539,-0.17167187977847015,0.2,0.0
Callum Wilson,West Ham,FW,33,0.5755395683453237,0.4846187605243518,0.409740670684262,0.0,0.6502076411038513,-0.1657988976610617,0.2,0.0
Nicolò Savona,Nottingham,DF,22,0.175438596491228,0.175438596491228,0.009699981874901412,0.0,0.2653368281580114,-0.1657386146163266,,
Hannibal Mejbri,Burnley,MF,22,0.364963503649635,0.3914571505812382,0.2023023180083135,0.0,0.6328772867423486,-0.16266118564132148,,
Bruno Fernandes,Manchester Utd,MF,30,0.8823529411764706,0.7626182822329286,0.7200761785719696,0.0,0.9598060378646377,-0.16227676260450097,4.0,1.0
Quilindschy Hartman,Burnley,DF,23,0.2463054187192118,0.2463054187192118,0.08462484141552436,0.0,0.25280625014309305,-0.16168057730368746,,
Jurriën Timber,Arsenal,DF,24,0.293040293040293,0.2284043919731652,0.1362207769669401,0.0,0.31548174605915524,-0.1568195160733529,0.5,0.0
Emi Buendía,Aston Villa,MF,28,0.4102564102564102,0.3104050775409621,0.2546611185198972,0.0,0.6325357399183216,-0.155595291736513,3.5,0.0
Lucas Bergvall,Tottenham,MF,19,0.3738317757009346,0.2739125418253144,0.21850815937284324,0.0,0.5072061594780024,-0.15532361632809139,0.8,0.0
