Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share,target_next_ga90,target_next_90s,target_season,has_target,forecast_2627_ga90,forecast_2627_p10,forecast_2627_p50,forecast_2627_p90,forecast_delta,early_2627_90s,early_2627_ga90
Aaron Hickey,Scotland,"DF,MF",Brentford,23,2002,21,8,691,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,3,3320,713.0,-22.0,0.0052164840897235,0.0,0.0469483568075117,529,38.0,47.5,10.657894736842104,3.8684210526315783,13.263157894736842,55.0,52.0,0.4455445544554455,,,,False,0.07599230289645989,0.0,0.0721692159696037,0.22615034900755315,0.07599230289645989,1.5,0.0
Aaron Ramsdale,England,GK,Newcastle,27,1998,12,11,1004,11.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,5,10724,2700.0,-1696.0,0.0,0.0,0.0,729,38.0,52.47368421052632,12.947368421052632,4.631578947368421,12.342105263157896,53.0,55.0,0.5119667013527576,,,,False,0.0044742246295780205,0.0,0.004103991251489908,0.021573492139106375,0.0044742246295780205,,
Aaron Wan-Bissaka,DR Congo,"DF,MF",West Ham,27,1997,25,23,2081,23.1,0,2,2,0,0,0,4,0,0.0,0.0865800865800865,0.0865800865800865,0.0,0.0865800865800865,False,2025-26,2025,0.0865800865800865,5,10243,3154.0,-1073.0,0.1096467318689541,0.2,0.101010101010101,729,,,,,,,,,,,,False,0.1327115461263009,0.0,0.17424366039575084,0.23356064380389796,0.04613145954621441,1.2,0.0
Abdukodir Khusanov,Uzbekistan,DF,Manchester City,21,2004,21,15,1432,15.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,2,1935,503.0,929.0,0.0,0.0,,441,38.0,60.6578947368421,15.657894736842104,5.394736842105263,9.710526315789474,77.0,35.0,0.617219917012448,,,,False,0.0692159524969789,0.0,0.060859169062685424,0.1630022276496145,0.0692159524969789,3.0,0.0
Adam Armstrong,England,"FW,MF",Wolves,28,1997,14,14,1140,12.7,2,2,4,1,1,1,3,0,0.1574803149606299,0.1574803149606299,0.3149606299212598,0.0787401574803149,0.2362204724409448,False,2025-26,2025,0.3149606299212598,4,5136,1248.0,-108.0,0.2983737970032499,0.2877697841726618,0.2027027027027027,784,,,,,,,,,,,,False,0.30214500172169223,0.0,0.3458688310465196,0.5517595995974569,-0.012815628199567553,,
Adam Smith,England,DF,Bournemouth,34,1991,22,14,1077,12.0,0,2,2,0,0,0,3,0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,False,2025-26,2025,0.1666666666666666,4,7760,1590.0,-513.0,0.1184424094996945,0.0,0.0836820083682008,1156,38.0,50.078947368421055,13.842105263157896,4.684210526315789,12.63157894736842,58.0,54.0,0.5228628230616302,,,,False,0.1786274089945164,0.0,0.09447473679166345,0.22664053509019771,0.0119607423278498,4.0,0.0
Adam Wharton,England,MF,Crystal Palace,21,2004,34,29,2552,28.4,1,5,6,1,0,0,6,1,0.0352112676056338,0.176056338028169,0.2112676056338028,0.0352112676056338,0.2112676056338028,False,2025-26,2025,0.2112676056338028,3,5167,1318.0,1234.0,0.1944346188750974,0.136986301369863,0.2083333333333333,441,38.0,45.89473684210526,11.63157894736842,3.710526315789474,11.710526315789474,41.0,51.0,0.4983089064261555,,,,False,0.28528090899133396,0.0,0.22104886542980778,0.5293313508790826,0.07401330335753115,3.8,0.0
Adrien Truffert,France,DF,Bournemouth,23,2001,38,38,3379,37.5,1,5,6,1,0,0,5,0,0.0266666666666666,0.1333333333333333,0.16,0.0266666666666666,0.16,False,2025-26,2025,0.16,1,3379,,,0.16,,,529,38.0,50.078947368421055,13.842105263157896,4.684210526315789,12.63157894736842,58.0,54.0,0.5228628230616302,,,,False,0.12035398733758883,0.0,0.13799039391805556,0.22363358321923751,-0.039646012662411176,4.0,0.0
Alejandro Garnacho,Argentina,MF,Chelsea,21,2004,24,14,1268,14.1,1,4,5,1,0,0,2,0,0.0709219858156028,0.2836879432624113,0.3546099290780142,0.0709219858156028,0.3546099290780142,False,2025-26,2025,0.3546099290780142,5,6614,2199.0,-931.0,0.3574526737711218,0.3278688524590164,0.3859649122807017,441,38.0,57.73684210526316,13.394736842105264,4.368421052631579,10.947368421052632,58.0,52.0,0.5502702702702702,,,,False,0.38042554306051146,0.0,0.4061505649230173,0.568831079235092,0.025815613982497265,0.4,0.0
Alex Iwobi,Nigeria,MF,Fulham,29,1996,29,29,2419,26.9,4,3,7,4,0,0,3,0,0.1486988847583643,0.1115241635687732,0.2602230483271375,0.1486988847583643,0.2602230483271375,False,2025-26,2025,0.2602230483271375,4,10813,2981.0,-562.0,0.2985199723318278,0.4531722054380664,0.24,841,38.0,51.73684210526316,12.657894736842104,3.631578947368421,11.789473684210526,47.0,51.0,0.5177610333692142,,,,False,0.3760690747273996,0.0,0.3848982416332737,0.4820946341564799,0.11584602640026209,3.8,0.0
Alex Scott,England,MF,Bournemouth,21,2003,37,34,2849,31.7,3,1,4,3,0,0,5,0,0.0946372239747634,0.0315457413249211,0.1261829652996845,0.0946372239747634,0.1261829652996845,False,2025-26,2025,0.1261829652996845,3,4618,755.0,2094.0,0.1037876602489539,0.0,0.1769911504424778,441,38.0,50.078947368421055,13.842105263157896,4.684210526315789,12.63157894736842,58.0,54.0,0.5228628230616302,,,,False,0.15913894593267,0.0,0.12132885514022561,0.44657646664882295,0.03295598063298549,3.9,0.25
Alexander Isak,Sweden,FW,Liverpool,25,1999,14,8,699,7.8,3,1,4,3,0,0,0,0,0.3846153846153846,0.1282051282051282,0.5128205128205129,0.3846153846153846,0.5128205128205129,False,2025-26,2025,0.5128205128205129,4,7232,2756.0,-2057.0,0.6444666902684004,0.9477124183006536,0.9163346613545816,625,38.0,59.31578947368421,15.473684210526317,4.605263157894737,11.447368421052632,63.0,53.0,0.5747800586510264,,,,False,0.6307044546444067,0.0,0.6773372899526995,0.92774247072211,0.11788394182389383,3.7,0.81
Alexis Mac Allister,Argentina,MF,Liverpool,26,1998,37,31,2658,29.5,2,4,6,2,0,0,7,0,0.0677966101694915,0.135593220338983,0.2033898305084746,0.0677966101694915,0.2033898305084746,False,2025-26,2025,0.2033898305084746,5,12865,2599.0,59.0,0.2510101584968792,0.3460207612456747,0.3460207612456747,676,38.0,59.31578947368421,15.473684210526317,4.605263157894737,11.447368421052632,63.0,53.0,0.5747800586510264,,,,False,0.28046159492578304,0.0,0.3077606199417711,0.45824075315450297,0.07707176441730845,2.4,0.0
Alisson,Brazil,GK,Liverpool,32,1992,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,5,13938,2508.0,-168.0,0.001010269528788,0.0,0.0,1024,38.0,59.31578947368421,15.473684210526317,4.605263157894737,11.447368421052632,63.0,53.0,0.5747800586510264,,,,False,0.0006636454158723768,0.0,0.008030236594884752,0.007540891562145976,0.0006636454158723768,4.0,0.0
Alphonse Areola,France,GK,West Ham,32,1993,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05,False,2025-26,2025,0.05,5,7158,2260.0,-460.0,0.0333333333333333,0.0,0.0,1024,,,,,,,,,,,,False,-0.023264897184619014,0.0,-0.0015595570216324916,-0.00990682338528764,-0.07326489718461901,,
Altay Bayındır,Turkey,GK,Manchester Utd,27,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,2,900,360.0,180.0,0.0,0.0,,729,38.0,51.92105263157895,15.657894736842104,5.657894736842105,11.578947368421051,69.0,50.0,0.5748792270531401,,,,False,0.027975298015489435,0.0,0.0017796971900094385,0.01797897996070464,0.027975298015489435,,
Amad Diallo,Ivory Coast,MF,Manchester Utd,23,2002,32,27,2341,26.0,2,3,5,2,0,0,2,0,0.0769230769230769,0.1153846153846153,0.1923076923076923,0.0769230769230769,0.1923076923076923,False,2025-26,2025,0.1923076923076923,3,4632,1901.0,440.0,0.3273307389917111,0.6635071090047393,0.4651162790697674,529,38.0,51.92105263157895,15.657894736842104,5.657894736842105,11.578947368421051,69.0,50.0,0.5748792270531401,,,,False,0.3542736002731257,0.0,0.251032780764642,0.6327432288246104,0.16196590796543342,,
Amadou Onana,Belgium,MF,Aston Villa,23,2001,25,21,1758,19.5,2,0,2,2,0,0,3,0,0.1025641025641025,0.0,0.1025641025641025,0.1025641025641025,0.1025641025641025,False,2025-26,2025,0.1025641025641025,4,7954,1617.0,141.0,0.1158245663493039,0.1666666666666666,0.0862068965517241,529,38.0,53.6578947368421,12.710526315789474,4.473684210526316,12.894736842105264,56.0,49.0,0.4964028776978417,,,,False,0.11082863973281859,0.0,0.1496146886936582,0.38140937820495535,0.008264537168716085,,
Amine Adli,Morocco,MF,Bournemouth,25,2000,31,10,1094,12.2,3,1,4,3,0,0,2,0,0.2459016393442623,0.0819672131147541,0.3278688524590164,0.2459016393442623,0.3278688524590164,False,2025-26,2025,0.3278688524590164,1,1094,,,0.3278688524590164,,,625,38.0,50.078947368421055,13.842105263157896,4.684210526315789,12.63157894736842,58.0,54.0,0.5228628230616302,,,,False,0.2471371209178453,0.0,0.2471172511256737,0.501595799197041,-0.08073173154117114,,
