Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,is_partial_season,gameweeks_covered,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share
Aaron Hickey,,DF,Brentford,23.0,2002.0,4,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,3453,691.0,-558.0,0.0017388280299078425,0.0,0.0,529.0,,,,,,,,
Aaron Wan-Bissaka,,DF,Aston Villa,28.0,1997.0,3,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,10352,2081.0,-1972.0,0.0365489106229847,0.08658008658008658,0.2,784.0,,,,,,,,
Abdoul Ouattara,,DF,Ipswich Town,,,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,45,,,0.0,,,,,,,,,,,
Abdukodir Khusanov,,DF,Manchester City,21.0,2004.0,3,3,268,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,2203,1432.0,-1164.0,0.0,0.0,0.0,441.0,,,,,,,,
Abdul Fatawu Issahaku,,MF,Ipswich Town,21.0,2004.0,4,4,286,3.2,0,1,1,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31,False,2026-27,2026,True,4.0,0.31,2,865,579.0,-293.0,0.31083333333333335,0.3125,,441.0,,,,,,,,
Adam Smith,,DF,Bournemouth,34.0,1991.0,4,4,360,4.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,8120,1077.0,-717.0,0.03948080316656486,0.16666666666666666,0.0,1156.0,,,,,,,,
Adam Wharton,,MF,Crystal Palace,21.0,2004.0,4,4,346,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,5513,2552.0,-2206.0,0.06481153962503247,0.21126760563380284,0.136986301369863,441.0,,,,,,,,
Adrien Truffert,,DF,Bournemouth,24.0,2001.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,3739,3379.0,-3019.0,0.053333333333333344,0.16,,576.0,,,,,,,,
Ainsley Maitland-Niles,,DF,Everton,28.0,1997.0,2,1,88,1.0,1,0,1,1,0,0,0,0,1.02,0.0,1.02,1.02,1.02,False,2026-27,2026,True,4.0,1.02,3,1763,1407.0,-1319.0,0.6799999999999999,0.0,0.0,784.0,,,,,,,,
Aladji Bamba,,MF,Newcastle,,,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,26,,,0.0,,,,,,,,,,,
Alejandro Garnacho,,MF,Aston Villa,21.0,2004.0,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,6648,1268.0,-1234.0,0.1191508912570406,0.3546099290780142,0.3278688524590164,441.0,,,,,,,,
